THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
archaeology,Hotel vicino a siti archeologici,Hotel vicini a siti archeologici,Hotel,Hotel,property_type,Hotesitoarcheo
architecture,Hotel dall'architettura notevole,Hotel dall'architettura notevole ,Hotel,Hotel,property_type,Hotel_Architett
art,Hotel vicino a luoghi d'arte,Hotel vicino a gallerie d'arte e musei,Hotel,Hotel,property_type,Hotel_Arte
babysitting,Hotel con servizio baby sitting,Hotel con servizio baby sitting,Hotel,Hotel,property_type,Hotelbabysitter
balcony,Hotel con balcone,Hotel con balconi,Hotel,Hotel,property_type,Hotel_Balcone
bandb,Bed and Breakfast,Bed and Breakfast,Bed and Breakfast,Bed and Breakfast,property_type,BedandBreakfast
banquet,Hotel per banchetti,Hotel per banchetti,Hotel,Hotel,property_type,Hotel_Banchetti
bar,Hotel con bar,Hotel con bar,Hotel,Hotel,property_type,Hotel_con_bar
barbecue,Hotel vicino ad aree per barbecue,Hotel vicino ad aree per barbecue,Hotel,Hotel,property_type,Hotel_Barbecue
bargain,Hotel scontato,Hotel scontati,Hotel,Hotel,property_type,Hotel_Scont
bargain|hotel,Hotel a buon prezzo,Hotel a buon prezzo,Hotel,Hotel,property_type,HotelBuonPrezzo
baseball,Hotel per amanti del baseball,Hotel per amanti del baseball,Hotel,Hotel,property_type,Hotel_Baseball
basketball,Hotel per amanti del basket,Hotel per amanti del basket,Hotel,Hotel,property_type,HotelBasket
beach,Hotel sulla spiaggia,Hotel sulla spiaggia,Hotel,Hotel,property_type,Hotel_spiaggia
beach|resort,Resort vicino a spiagge,Resort vicino a spiagge,Resort,Resort,property_type,Resort_spiagge
beachview,Hotel con vista spiaggia,Hotel con vista spiaggia,Hotel,Hotel,property_type,Hotelspiaggia
bed_breakfast,Bed and Breakfast,Bed and Breakfast,Bed and Breakfast,Bed and Breakfast,property_type,BedandBreakfast
bedbreakfast,Bed and Breakfast,Bed and Breakfast,Bed and Breakfast,Bed and Breakfast,property_type,BedandBreakfast
bedbreakfast|cheap,Bed and Breakfast economico,Bed and Breakfast economici,Bed and Breakfast,Bed and Breakfast,property_type,BedandBreakfast
beer,Hotel vicino a birrerie,Hotel vicino a birrerie,Hotel,Hotel,property_type,Hotelvicinbirra
best,Il miglior hotel,Migliori hotel,Hotel,Hotel,property_type,Migliori_hotel
best|deal|hotel,Miglior offerta hotel,Migliori offerte hotel,Hotel,Hotel,property_type,MiglioOffHotel
best|familyfriendly,Migliore hotel adatto alle famiglie,Migliori hotel adatti alle famiglie,Hotel,Hotel,property_type,Hotel_famiglie
best|hotel,Miglior hotel,Migliori hotel,Hotel,Hotel,property_type,Migliori_Hotel
