THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
pet_friendly,Haustierfreundliches Hotel,Haustierfreundliche Hotels,Hotel,Hotels,property_type,Hotels
pool,Hotel in der Nähe von einem Pool,Hotels mit Pool,Hotel,Hotels,property_type,Hotel_mit_Pool
view,Hotel mit Aussicht,Hotels mit Aussichten,Hotel,Hotels,property_type,Hotels
accommodation|hotel,Hotelunterkunft,Hotelunterkunft,Hotelunterkunft,Hotelunterkunft,property_type,Hotelunterkunft
babyshower,Hotel für Babyparties,Hotels für Babyparties,Hotel,Hotels,property_type,HotelBabyparty
basketball,Hotel für Basketballfans,Hotels für Basketballfans,Hotel,Hotels,property_type,HotelBasketball
bungeejumping,Hotel mit Bungee-Jumping in der Nähe,Hotels mit Bungee-Jumping in der Nähe,Hotel,Hotels,property_type,HotelBungeeJump
coffeemaker,Hotel mit Kaffeemaschine,Hotels mit Kaffeemaschinen,Hotel,Hotels,property_type,HotelKaffee
comparison,Hotelvergleich,Hotelvergleiche,Hotel,Hotels,property_type,HotelVergleich
conferencecenter,Hotel mit Konferenzzentrum,Hotels mit Konferenzzentren,Hotel,Hotels,property_type,HotelKonZentrum
ecotourism,Hotel mit Ökotourismus in der Umgebung,Hotels mit Ökotourismus in der Umgebung,Hotel,Hotels,property_type,HotelÖkotourist
electrickettle,Hotel mit Wasserkocher,Hotels mit Wasserkochern,Hotel,Hotels,property_type,HotelWasserkoch
excursions,Hotel mit Ausflügen,Hotels mit Ausflügen,Hotel,Hotels,property_type,HotelAusflüge
hotsprings,Hotel in der Nähe von heißen Quellen,Hotels in der Nähe von heißen Quellen,Hotel,Hotels,property_type,HotelHeißQuelle
indoorpool,Hotel mit Innenpool,Hotels mit Innenpool,Hotel,Hotels,property_type,HotelInnenpool
naturalparks,Hotel in der Nähe von Naturparks,Hotels in der Nähe von Naturparks,Hotel,Hotels,property_type,HotelNaturpark
northernlights,Hotel mit Blick auf das Nordlicht,Hotels mit Blick auf das Nordlicht,Hotel,Hotels,property_type,HotelNordlicht
promotion,Hotelangebot,Hotelangebote,Hotel,Hotels,property_type,Hotelangebote
publictransport,Hotel mit öffentlichen Verkehrsmitteln in der Nähe,Hotels mit öffentlichen Verkehrsmitteln in der Nähe,Hotel,Hotels,property_type,HotelÖPNV
