THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
cheap|hotel|lastminute,Cheap Last-Minute Hotel,Cheap Last-Minute Hotels,Hotel,Hotels,property_type,ChpLastMinHotel
clean,Clean Hotel,Clean Hotels,Hotel,Hotels,property_type,Clean_Hotels
clearwaterbeach,Hotel near Clear Water Beach,Hotels near Clear Water Beaches,Hotel,Hotels,property_type,ClearWaterBeach
clubhouse,Clubhouse,Clubhouses,Clubhouse,Clubhouses,property_type,Clubhouses
condo,Condo,Condos,Condo,Condos,property_type,Condos
connectingrooms,Hotel with Connecting Rooms,Hotels with Connecting Rooms,Hotel,Hotels,property_type,ConnectingRooms
cottage,Cottage,Cottages,Cottage,Cottages,property_type,Cottages
countryhouse,Country House,Country Houses,Country House,Country Houses,property_type,Country_Houses
countryside,Hotel in the Countryside,Hotels in the Countryside,Hotel,Hotels,property_type,Countryside
crosscountryskiing,Hotel near Cross Country Skiing,Hotels near Cross Country Skiing,Hotel,Hotels,property_type,CrossCountrySki
deal|hotel|secluded,Deal on Secluded Hotels,Deals on Secluded Hotels,Hotel,Hotels,property_type,Deal_Hotel_Secl
discount|hotel|suites,Discount on Hotel Suites,Discounts on Hotel Suites,Hotel Suite,Hotel Suites,property_type,DiscHotelSuites
dormitory,Dormitory,Dormitories,Dormitory,Dormitories,property_type,Dormitories
earlycheckin,Hotel with Early Check-in,Hotels with Early Check-in,Hotel,Hotels,property_type,Early_Check_In
ecofriendly,Eco-Friendly Hotel,Eco-Friendly Hotels,Hotel,Hotels,property_type,EcoFriendHotels
eventfriendly,Event-Friendly Hotel,Event-Friendly Hotels,Hotel,Hotels,property_type,Event_Hotels
extendedstay,Extended-Stay Hotel,Extended-Stay Hotels,Hotel,Hotels,property_type,ExtendStayHotel
extended_stay,Extended-Stay Hotel,Extended-Stay Hotels,Hotel,Hotels,property_type,ExtendStayHotel
accommodation|familyfriendly,Family-Friendly Accommodation,Family-Friendly Accommodation,Accommodation,Accommodation,property_type,Family_Accomm
familyfriendly,Family-Friendly Hotel,Family-Friendly Hotels,Hotel,Hotels,property_type,Family_Hotels
kidfriendly,Kid-Friendly Hotel,Kid-Friendly Hotels,Hotel,Hotels,property_type,Family_Hotels
familyfriendly|hotel,Family-Friendly Hotel,Family-Friendly Hotels,Hotel,Hotels,property_type,Family_Hotels
farmstay,Farmstay,Farmstays,Farmstay,Farmstays,property_type,Farmstays
flat,Flat,Flats,Flat,Flats,property_type,Flats
glamping,Glamping,Glamping,Glamping,Glamping,property_type,Glamping
guesthouse,Guesthouse,Guesthouses,Guesthouse,Guesthouses,property_type,Guesthouses
healthclub,Hotel with Health Club,Hotels with Health Clubs,Hotel,Hotels,property_type,HealthClubHotel
historical,Historical Hotel,Historical Hotels,Hotel,Hotels,property_type,HistoricalHotel
homestay,Homestay,Homestays,Homestay,Homestays,property_type,Homestays
honeymoon,Honeymoon Hotel,Honeymoon Hotels,Hotel,Hotels,property_type,HoneymoonHotels
hostel,Hostel,Hostels,Hostel,Hostels,property_type,Hostels
coupon,Hotel,Hotel Coupons,Hotel,Hotels,property_type,Hotel_Coupons
address,Hotel near an Address,Hotels near Addresses,Hotel,Hotels,property_type,Hotel_Addresses
